,0,1,2,3,4,5,6,7
0,Australia,Yield,Day,Weekly,Monthly,YoY,Date,
1,Australia,4.2690,0.0020,0.00%,0.28%,0.65%,Aug/22,
2,New,Zealand,5.1740,0.0900,0.19%,0.56%,1.39%,Aug/22
