,0,1,2,3,4,5,6,7
0,Africa,Yield,Day,Weekly,Monthly,YoY,Date,
1,South,Africa,10.4750,0.0600,0.12%,0.22%,0.14%,Aug/22
2,Zambia,30.0580,0.0000,0.00%,-0.24%,1.06%,Aug/22,
3,Kenya,15.7180,0.0000,0.11%,0.29%,1.91%,Aug/22,
4,Nigeria,14.2620,0.4670,0.83%,1.39%,1.47%,Aug/21,
